weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,wind.gust,rain.1h,main.sea_level,main.grnd_level,snow.1h
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000,1612698809,14400,933995,Souillac,200,57.5167,-20.5167,304.15,304.27,304.15,304.15,1011,62,7.2,60,40,1.0,2061.0,MU,1612663015,1612709477,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000,1612698796,-18000,3576994,Cockburn Town,200,-71.1419,21.4612,298.31,296.6,298.31,298.31,1018,80,8.75,113,88,,,TC,1612696772,1612737479,,,1018.0,1018.0,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000,1612698810,32400,2014718,Tynda,200,124.7167,55.1667,245.02,240.29,245.02,245.02,1033,85,1.28,285,84,,,RU,1612653701,1612686533,,,1033.0,959.0,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000,1612698810,-21600,3652764,Puerto Ayora,200,-90.3518,-0.7393,297.59,302.95,297.59,297.59,1009,96,0.45,282,63,3.0,2005652.0,EC,1612699881,1612743590,1.34,,,,
"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",stations,10000,1612698801,10800,1070940,Antananarivo,200,47.5361,-18.9137,298.15,297.62,298.15,298.15,1014,61,4.12,340,75,1.0,2136.0,MG,1612665533,1612711750,,1.24,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000,1612698811,43200,2122090,Pevek,200,170.3133,69.7008,250.87,246.39,250.87,250.87,1046,87,1.1,21,0,,,RU,1612648250,1612670097,,,1046.0,1039.0,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000,1612698811,46800,6201424,Mataura,200,168.8643,-46.1927,284.82,284.72,284.82,284.82,1011,94,0.5,321,73,,,NZ,1612720100,1612771750,,,1011.0,1004.0,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000,1612698811,14400,286987,Nizwá,200,57.5333,22.9333,299.65,294.67,299.65,299.65,1015,17,4.16,186,0,,,OM,1612666010,1612706473,,,1015.0,957.0,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000,1612698811,25200,2022572,Khatanga,200,102.5,71.9667,237.99,231.31,237.99,237.99,1018,79,3.94,84,0,,,RU,1612666452,1612684447,,,1018.0,1014.0,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000,1612698221,7200,3369157,Cape Town,200,18.4232,-33.9258,296.69,289.09,295.93,298.15,1015,49,11.83,190,20,1.0,1899.0,ZA,1612671238,1612720019,,,,,
"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",stations,2834,1612698812,28800,1718262,Carrascal,200,125.9492,9.3703,298.69,303.2,298.69,298.69,1009,87,1.22,102,100,,,PH,1612648635,1612691008,,1.1068,1009.0,1008.0,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,6561,1612698812,25200,1488903,Turukhansk,200,87.9833,65.8167,254.94,247.34,254.94,254.94,1001,91,5.77,90,100,,,RU,1612665728,1612692140,,,1001.0,995.0,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000,1612698812,46800,2181625,Te Anau,200,167.7167,-45.4167,284.55,283.18,284.55,284.55,1012,84,1.57,7,92,,,NZ,1612720488,1612771913,,,1012.0,986.0,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000,1612698802,-28800,5354943,Half Moon Bay,200,-122.4286,37.4636,281.06,279.04,280.15,281.48,1017,87,1.54,210,90,1.0,5903.0,US,1612710440,1612748429,,,,,
"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,4023,1612698813,-32400,5880054,Barrow,200,-156.7887,71.2906,249.15,241.03,249.15,249.15,1045,70,6.17,30,90,1.0,7649.0,US,1612727745,1612747617,,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000,1612698798,-21600,3533462,Acapulco de Juárez,200,-99.8901,16.8634,296.08,298.05,296.08,296.08,1011,82,2.26,340,37,,,MX,1612703339,1612744711,,,1011.0,1009.0,
"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",stations,5000,1612698640,0,2657697,Acton,200,-0.2762,51.509,274.03,266.12,273.15,274.82,1005,86,8.23,30,75,1.0,1502.0,GB,1612682974,1612717260,,,,,0.24
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000,1612698813,-12600,6167817,Torbay,200,-52.7314,47.6666,272.25,259.73,271.48,273.15,1007,64,13.89,290,20,1.0,998.0,CA,1612694949,1612730464,19.55,,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000,1612698570,-10800,3401148,Cururupu,200,-44.8683,-1.8283,302.12,305.12,302.12,302.12,1012,69,2.96,86,73,,,BR,1612688893,1612732745,,,1012.0,1011.0,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000,1612698814,32400,2082539,Merauke,200,140.3333,-8.4667,300.25,301.54,300.25,300.25,1006,84,6.6,310,100,,,ID,1612643997,1612688741,,,1006.0,1005.0,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000,1612698814,-14400,6324729,Halifax,200,-63.5724,44.6453,270.06,265.0,269.26,271.15,1023,69,3.09,290,47,1.0,682.0,CA,1612697140,1612733477,,,,,
"[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13d'}]",stations,1700,1612698814,10800,546105,Nikolskoye,200,30.7861,59.7035,263.91,255.86,263.15,265.37,1018,85,7.0,300,90,1.0,8926.0,RU,1612677286,1612708036,,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000,1612698814,7200,986717,Kruisfontein,200,24.7314,-34.0033,295.93,296.01,295.93,295.93,1012,79,4.47,207,17,3.0,2035063.0,ZA,1612669715,1612718514,9.39,,,,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",stations,9656,1612698600,-28800,6111862,Port Hardy,200,-127.4199,50.6996,276.54,271.69,276.15,277.15,1019,93,4.63,310,90,1.0,1011.0,CA,1612713318,1612747947,,0.31,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000,1612698815,36000,2092164,Lorengau,200,147.2712,-2.0226,301.01,304.08,301.01,301.01,1008,80,3.99,10,59,,,PG,1612642763,1612686644,,,1008.0,1008.0,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000,1612698815,32400,2017155,Saskylakh,200,114.0833,71.9167,233.89,226.57,233.89,233.89,1025,78,4.82,144,23,,,RU,1612663631,1612681707,,,1025.0,1024.0,
"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",stations,10000,1612698815,7200,701802,Markova,200,24.4138,48.6758,268.15,261.24,268.15,268.15,1013,93,6.0,120,75,1.0,8906.0,UA,1612676602,1612711780,,,,,0.19
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000,1612698675,7200,361291,Hurghada,200,33.8129,27.2574,298.15,297.29,298.15,298.15,1020,44,2.06,40,0,1.0,2513.0,EG,1612672041,1612711829,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000,1612698816,3600,2399888,Lambaréné,200,10.2406,-0.7001,299.15,304.26,299.15,299.15,1010,89,1.05,176,90,1.0,2162.0,GA,1612675740,1612719445,,,1010.0,1007.0,
"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",stations,4828,1612698816,-28800,5364271,Laguna,200,-121.4238,38.421,278.17,275.77,277.15,279.26,1017,93,1.54,290,1,1.0,5769.0,US,1612710297,1612748090,,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000,1612698816,-14400,3578851,Marigot,200,-63.0833,18.0667,298.73,296.99,298.15,299.15,1018,61,6.17,70,20,1.0,8801.0,MF,1612694592,1612735790,,,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000,1612698816,-10800,3421765,Nanortalik,200,-45.2371,60.1432,273.41,267.77,273.41,273.41,1013,87,4.9,50,78,,,GL,1612695622,1612726194,,,1013.0,1013.0,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000,1612698817,-32400,5870133,Nome,200,-165.4064,64.5011,259.15,254.62,259.15,259.15,1038,78,1.52,44,90,1.0,7770.0,US,1612725842,1612753657,,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000,1612698817,14400,935215,Saint-Philippe,200,55.7679,-21.3585,301.71,301.92,297.59,305.15,1010,58,4.63,230,20,1.0,2127.0,RE,1612663370,1612709962,,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000,1612698781,-28800,5380437,Pacific Grove,200,-121.9166,36.6177,279.86,276.6,279.26,280.15,1016,87,2.96,38,1,1.0,4980.0,US,1612710232,1612748391,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000,1612698817,32400,2128975,Nemuro,200,145.575,43.3236,265.8,258.7,265.8,265.8,1007,92,5.96,6,100,,,JP,1612646823,1612683399,,,1007.0,1004.0,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,5644,1612698636,25200,1648082,Boyolangu,200,111.8935,-8.1181,298.25,303.13,298.25,298.25,1008,89,0.64,353,96,,,ID,1612650848,1612695542,,0.434,1008.0,997.0,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000,1612698817,-39600,4036284,Alofi,200,-169.9187,-19.0595,298.15,302.87,298.15,298.15,1011,94,1.54,50,98,1.0,7306.0,NU,1612717730,1612763935,,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000,1612698818,12600,1161724,Chabahar,200,60.643,25.2919,295.25,292.65,295.25,295.25,1017,47,3.88,194,0,,,IR,1612665447,1612705544,,,1017.0,1015.0,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000,1612698818,28800,1786764,Yichang,200,111.2847,30.7144,283.15,282.19,283.15,283.15,951,83,0.45,180,100,3.0,2034288.0,CN,1612653748,1612692934,1.34,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,2107,1612698818,21600,1526038,Atbasar,200,68.3333,51.8,262.04,252.44,262.04,262.04,1011,94,9.16,231,100,,,KZ,1612666577,1612700722,,,1011.0,975.0,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000,1612698818,-36000,5848280,Kapaa,200,-159.319,22.0752,289.15,288.62,289.15,289.15,1017,82,2.06,260,1,1.0,7873.0,US,1612717973,1612758605,,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000,1612698819,37800,2063036,Port Lincoln,200,135.8667,-34.7333,289.95,285.58,289.95,289.95,1017,75,7.28,131,3,,,AU,1612642950,1612691932,,,1017.0,1014.0,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000,1612698819,7200,1015776,Bredasdorp,200,20.0403,-34.5322,296.15,294.89,296.15,296.15,1014,53,3.09,220,94,1.0,1966.0,ZA,1612670788,1612719693,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000,1612698820,7200,686090,Asău,200,26.4,46.4333,271.48,267.41,271.48,271.48,1012,74,1.98,113,97,3.0,2033571.0,RO,1612675804,1612711625,,,,,0.1
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000,1612698787,-14400,5886182,Antigonish,200,-61.9986,45.6169,269.41,265.77,269.26,269.82,1021,64,0.89,249,53,3.0,2020548.0,CA,1612696889,1612732973,3.58,,,,
"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",stations,8605,1612698820,7200,918905,Chinsali,200,32.0816,-10.5414,297.52,300.52,297.52,297.52,1006,82,1.76,290,58,,,ZM,1612669841,1612714860,,2.04,1006.0,870.0,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}, {'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}]",stations,10000,1612698820,7200,964420,Port Elizabeth,200,25.5701,-33.918,295.15,293.4,295.15,295.15,1012,88,7.72,230,90,1.0,1973.0,ZA,1612669522,1612718304,,0.16,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000,1612698821,25200,1490256,Talnakh,200,88.3972,69.4865,241.0,235.94,241.0,241.0,1008,71,1.65,123,0,,,RU,1612667689,1612689979,,,1008.0,998.0,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000,1612698821,-10800,3423146,Ilulissat,200,-51.1,69.2167,270.15,257.73,270.15,270.15,1031,36,12.86,100,0,1.0,165.0,GL,1612700873,1612723757,,,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000,1612698821,39600,2176639,Batemans Bay,200,150.1833,-35.7167,290.49,290.89,288.15,292.04,1011,77,0.89,160,75,3.0,2010627.0,AU,1612639409,1612688601,2.68,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000,1612698822,36000,2027316,Ayan,200,138.1667,56.45,253.54,243.9,253.54,253.54,1021,80,8.55,300,100,,,RU,1612650754,1612683024,,,1021.0,1021.0,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000,1612698822,25200,1152202,Mae Ramat,200,98.5166,16.984,304.15,303.23,304.15,304.15,1010,33,2.57,270,20,1.0,9262.0,TH,1612655741,1612697070,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,7000,1612698822,-10800,3430863,Mar del Plata,200,-57.5575,-38.0023,291.63,287.63,291.48,292.15,1017,72,7.2,110,90,1.0,8305.0,AR,1612689057,1612738673,,0.1,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000,1612698823,7200,254865,Poros,200,23.4536,37.4994,292.42,292.41,292.04,292.59,1015,67,1.34,304,76,3.0,2019883.0,GR,1612675456,1612713387,4.02,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000,1612698823,14400,935214,Saint-Pierre,200,55.4781,-21.3393,302.33,302.81,298.15,305.15,1010,58,4.63,230,20,1.0,2127.0,RE,1612663441,1612710030,,,,,
"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,10000,1612698823,-25200,6089245,Norman Wells,200,-126.8329,65.282,245.15,238.06,245.15,245.15,1035,76,4.63,290,75,1.0,951.0,CA,1612716924,1612744060,,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000,1612698824,39600,2134814,Sola,200,167.55,-13.8833,300.81,302.83,300.81,300.81,1006,74,4.29,237,4,,,VU,1612637087,1612682586,,,1006.0,994.0,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000,1612698824,25200,1649150,Bengkulu,200,102.2655,-3.8004,299.79,302.83,299.79,299.79,1008,85,3.88,303,100,,,ID,1612653448,1612697563,,,1008.0,1006.0,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000,1612698825,28800,2036283,Kuandian,200,124.7847,40.7286,260.91,256.07,260.91,260.91,1030,91,2.22,336,0,,,CN,1612651502,1612688700,,,1030.0,993.0,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,10000,1612698669,-10800,3471451,Arraial do Cabo,200,-42.0278,-22.9661,297.15,297.92,297.15,297.15,1013,78,4.12,250,75,1.0,8326.0,BR,1612686724,1612733551,,0.19,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000,1612698825,28800,1714733,Dingle,200,122.6711,10.9995,297.74,299.62,297.74,297.74,1009,89,4.53,13,66,,,PH,1612649531,1612691685,,,1009.0,1006.0,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000,1612698825,-18000,5983720,Iqaluit,200,-68.5145,63.7506,267.09,258.86,267.04,267.15,1017,63,7.2,100,1,1.0,797.0,CA,1612702354,1612730635,13.38,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000,1612698826,39600,2160735,Lakes Entrance,200,147.981,-37.8811,288.71,288.28,288.71,288.71,1014,72,0.89,156,16,3.0,2011895.0,AU,1612639702,1612689365,2.24,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000,1612698826,-10800,3461129,Ipiaú,200,-39.7339,-14.1372,299.19,303.38,299.19,299.19,1014,87,2.07,25,100,,,BR,1612686831,1612732343,,,1014.0,999.0,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000,1612698826,28800,2033196,Zhangjiakou,200,114.8794,40.81,268.2,263.45,268.2,268.2,1034,74,2.55,347,0,,,CN,1612653886,1612691070,,,1034.0,940.0,
"[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13n'}]",stations,10000,1612698827,-21600,6165406,Thompson,200,-97.8558,55.7435,235.15,227.96,235.15,235.15,1019,67,4.63,300,40,1.0,935.0,CA,1612707164,1612739910,8.23,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000,1612698827,28800,1692685,Puerto Princesa City,200,118.7353,9.7392,302.15,305.74,302.15,302.15,1009,74,3.09,30,40,1.0,8186.0,PH,1612650391,1612692715,,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000,1612698828,-21600,6164499,The Pas,200,-101.2541,53.8251,237.15,229.61,237.15,237.15,1024,68,5.14,290,1,1.0,891.0,CA,1612707595,1612741110,7.72,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000,1612698828,46800,2208248,Kaitangata,200,169.8464,-46.2817,289.82,290.94,289.82,289.82,1008,92,0.89,315,40,3.0,2000217.0,NZ,1612719851,1612771528,1.79,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000,1612698829,-12600,5905393,Bonavista,200,-53.1147,48.6499,271.12,263.53,270.15,272.59,1005,63,6.69,260,19,1.0,719.0,CA,1612695185,1612730412,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000,1612698829,-18000,5282297,Bethel,200,-73.414,41.3712,270.05,266.31,268.15,271.48,1019,74,1.33,77,90,1.0,3888.0,US,1612699105,1612736236,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,810,1612698830,18000,1487112,Vikulovo,200,70.6107,56.8167,261.27,251.05,261.27,261.27,993,93,9.96,226,100,,,RU,1612667026,1612699180,,,993.0,985.0,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000,1612698830,7200,705544,Kobelyaky,200,34.1965,49.1489,264.71,259.07,264.71,264.71,1022,75,3.48,360,100,,,UA,1612674328,1612709358,,,1022.0,1012.0,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000,1612698831,32400,2112802,Hasaki,200,140.8333,35.7333,281.86,276.82,280.93,283.15,1010,40,3.6,310,20,1.0,7955.0,JP,1612647126,1612685372,,,,,
